Period,Current Search
2022 Q4 QTD,11.677% 
2022 Q3,11.674% 
2022 Q2,11.092% 
2022 Q1,11.181% 
2021 Q4,10.946% 
2021 Q3,10.144% 
2021 Q2,9.522% 
2021 Q1,9.498% 
2020 Q4,8.759% 
2020 Q3,7.766% 
2020 Q2,6.913% 
2020 Q1,6.389% 
2019 Q4,6.507% 
2019 Q3,6.440% 
2019 Q2,6.597% 
2019 Q1,6.429% 
2018 Q4,6.543% 
2018 Q3,7.183% 
2018 Q2,7.330% 
2018 Q1,7.431% 
2017 Q4,7.731% 
2017 Q3,7.612% 
2017 Q2,8.147% 
2017 Q1,8.306% 
2016 Q4,8.214% 
2016 Q3,8.134% 
2016 Q2,8.796% 
2016 Q1,9.361% 
2015 Q4,9.204% 
2015 Q3,9.216% 
2015 Q2,9.822% 
2015 Q1,9.621% 
2014 Q4,9.633% 
2014 Q3,9.547% 
2014 Q2,9.353% 
2014 Q1,9.745% 
2013 Q4,9.806% 
2013 Q3,10.693% 
2013 Q2,11.789% 
2013 Q1,11.636% 
