Period,Market Rent,Asking Rent
2027 Q4,$42.73 ,-
2027 Q3,$42.44 ,-
2027 Q2,$42.15 ,-
2027 Q1,$41.86 ,-
2026 Q4,$41.57 ,-
2026 Q3,$41.29 ,-
2026 Q2,$41.01 ,-
2026 Q1,$40.75 ,-
2025 Q4,$40.52 ,-
2025 Q3,$40.31 ,-
2025 Q2,$40.16 ,-
2025 Q1,$40.06 ,-
2024 Q4,$40.02 ,-
2024 Q3,$40.02 ,-
2024 Q2,$40.07 ,-
2024 Q1,$40.14 ,-
2023 Q4,$40.24 ,-
2023 Q3,$40.36 ,-
2023 Q2,$40.48 ,-
2023 Q1,$40.52 ,-
2022 Q4 EST,$40.48 ,-
2022 Q4 QTD,$40.29 ,$37.91 
2022 Q3,$40.12 ,$37.81 
2022 Q2,$40.00 ,$37.15 
2022 Q1,$39.90 ,$36.00 
2021 Q4,$39.95 ,$35.90 
2021 Q3,$39.84 ,$35.88 
2021 Q2,$39.41 ,$35.62 
2021 Q1,$39.11 ,$35.33 
2020 Q4,$39.41 ,$35.36 
2020 Q3,$39.36 ,$35.23 
2020 Q2,$39.20 ,$35.11 
2020 Q1,$39.29 ,$35.19 
2019 Q4,$39.27 ,$34.98 
2019 Q3,$39.07 ,$35.24 
2019 Q2,$38.64 ,$34.93 
2019 Q1,$37.92 ,$34.42 
2018 Q4,$38.07 ,$34.17 
2018 Q3,$37.29 ,$32.87 
2018 Q2,$36.64 ,$32.50 
2018 Q1,$36.15 ,$32.34 
2017 Q4,$35.65 ,$31.96 
2017 Q3,$35.43 ,$30.71 
2017 Q2,$35.14 ,$31.17 
2017 Q1,$34.47 ,$31.04 
2016 Q4,$33.62 ,$30.70 
2016 Q3,$33.53 ,$32.01 
2016 Q2,$33.10 ,$31.83 
2016 Q1,$32.90 ,$32.26 
2015 Q4,$33.02 ,$32.06 
2015 Q3,$32.75 ,$32.02 
2015 Q2,$32.73 ,$32.20 
2015 Q1,$32.57 ,$32.74 
2014 Q4,$32.16 ,$32.33 
2014 Q3,$31.62 ,$32.06 
2014 Q2,$31.12 ,$31.76 
2014 Q1,$30.79 ,$31.62 
2013 Q4,$30.41 ,$31.90 
2013 Q3,$30.15 ,$31.72 
2013 Q2,$30.19 ,$31.58 
2013 Q1,-,$28.91 
