Property Address,Property City,Property Province,Property Type,Building SF,Star Rating,Sale Price,Price Per SF,Sale Date,Sale Status,Asking Price,Actual Cap Rate,Pro Forma Cap Rate,Buyer (True) Origin,Seller (True) Origin,Listing Broker Company,Building Class,Year Built,Land Area AC,Land Area SF,Number Of Floors,Zoning,Submarket Name,Location Type,Property Postal Code,Property Region,Country
20 Ripley Ave,Toronto,ON,Office,"6,051",2 Star,"$7,000,000","1,156.83",2022-09-29,Sold,,,,Local,,,C,1990,0.25,10958,1,EL,West Toronto,Suburban,M6S 3N9,Toronto,Canada
72 Berkeley St,Toronto,ON,Office,"3,100",2 Star,"$2,500,000",806.45,2022-09-29,Sold,,,,Local,Local,,C,1925,,,3,CRE,Downtown East,CBD,M5A 2W7,Toronto,Canada
74 Berkeley St,Toronto,ON,Office,"2,200",3 Star,"$2,150,000",977.27,2022-09-29,Sold,,,,Local,Local,,C,1925,0.03,1307,4,CRE,Downtown East,CBD,M5A 2W7,Toronto,Canada
76 Berkeley St,Toronto,ON,Office,"1,233",2 Star,"$1,800,000","1,459.85",2022-09-29,Sold,,,,Local,Local,Cushman & Wakefield,C,1925,0.03,1277,2,CRE,Downtown East,CBD,M5A 2W7,Toronto,Canada
1275 Finch Ave W (Part of Multi-Condo Sale),Toronto,ON,Office,"1,507",4 Star,,,2022-09-29,Sold,,,,National,Local,Cubecom Commercial Realty Inc.,B,2018,,,8,EL,North Toronto,Suburban,M3J 2B1,Toronto,Canada
1275 Finch Ave W (Part of Multi-Condo Sale),Toronto,ON,Office,"3,302",4 Star,,,2022-09-29,Sold,,,,National,Local,Cubecom Commercial Realty Inc.,B,2018,,,8,EL,North Toronto,Suburban,M3J 2B1,Toronto,Canada
664-666 Mt Pleasant Rd,Toronto,ON,Office,,2 Star,"$2,150,000",,2022-09-28,Sold,,,,National,,,C,,0.06,2776,2,CR,Midtown,Urban,M4S 2N3,Toronto,Canada
7 St. Thomas St,Toronto,ON,Office,"1,189",4 Star,"$2,750,000","2,312.87",2022-09-27,Sold,,,,National,Local,,A,2017,0.38,16553,9,CR,Midtown,Urban,M5S 1K5,Toronto,Canada
1391 Bayview Ave,Toronto,ON,Office,"4,932",2 Star,"$5,000,000","1,013.79",2022-09-26,Sold,,,,,,,C,1955,0.31,13367,2,CR,East Toronto,Suburban,M4G 3A6,Toronto,Canada
105 Moatfield Dr (Part of Portfolio),Toronto,ON,Office,"248,981",4 Star,"$61,830,533",248.33,2022-09-23,Sold,,,,Local,Local,,B,1982,6.56,285754,11,64.20-A (172) RM6(198),East Toronto,Suburban,M3B 0A2,Toronto,Canada
95 Moatfield Dr (Part of Portfolio),Toronto,ON,Office,"156,426",3 Star,"$35,188,151",224.95,2022-09-23,Sold,,,,Local,Local,,B,1982,6.56,285754,5,64.20-A (172) RM6(198),East Toronto,Suburban,M3B 3L6,Toronto,Canada
686 Richmond St W,Toronto,ON,Office,"4,500",2 Star,"$3,550,000",788.89,2022-09-23,Sold,,,,,,,C,1947,0.05,2114,3,EL,King/Dufferin,CBD,M6J 2H5,Toronto,Canada
220 Duncan Mill Rd (Part of Multi-Condo Sale),Toronto,ON,Office,"2,071",3 Star,,,2022-09-16,Sold,,,,Local,,,B,1981,,,6,CR,East Toronto,Suburban,M3B 3J5,Toronto,Canada
220 Duncan Mill Rd (Part of Multi-Condo Sale),Toronto,ON,Office,"2,071",3 Star,,,2022-09-16,Sold,,,,Local,,,B,1981,,,6,CR,East Toronto,Suburban,M3B 3J5,Toronto,Canada
220 Duncan Mill Rd (Part of Multi-Condo Sale),Toronto,ON,Office,"2,071",3 Star,,,2022-09-16,Sold,,,,Local,,,B,1981,,,6,CR,East Toronto,Suburban,M3B 3J5,Toronto,Canada
220 Duncan Mill Rd (Part of Multi-Condo Sale),Toronto,ON,Office,"2,071",3 Star,,,2022-09-16,Sold,,,,Local,,,B,1981,,,6,CR,East Toronto,Suburban,M3B 3J5,Toronto,Canada
220 Duncan Mill Rd (Part of Multi-Condo Sale),Toronto,ON,Office,"2,071",3 Star,,,2022-09-16,Sold,,,,Local,,,B,1981,,,6,CR,East Toronto,Suburban,M3B 3J5,Toronto,Canada
220 Duncan Mill Rd (Part of Multi-Condo Sale),Toronto,ON,Office,"2,071",3 Star,,,2022-09-16,Sold,,,,Local,,,B,1981,,,6,CR,East Toronto,Suburban,M3B 3J5,Toronto,Canada
220 Duncan Mill Rd (Part of Multi-Condo Sale),Toronto,ON,Office,"2,071",3 Star,,,2022-09-16,Sold,,,,Local,,,B,1981,,,6,CR,East Toronto,Suburban,M3B 3J5,Toronto,Canada
115 Berkeley St,Toronto,ON,Office,"3,735",3 Star,"$5,000,000","1,338.69",2022-09-09,Sold,,,,Local,Local,,B,1885,0.09,3920,3,CR SS1,Downtown East,CBD,M5A 2W8,Toronto,Canada
20 Upjohn Rd,Toronto,ON,Office,"19,322",3 Star,"$13,800,000",714.21,2022-09-02,Sold,,,,Local,Local,CBRE,B,1954,1.96,85378,1,EO,East Toronto,Suburban,M3B 2V9,Toronto,Canada
100 Wynford Dr (Part of Portfolio),Toronto,ON,Office,"444,898",3 Star,"$125,001,400",280.97,2022-09-01,Sold,,6.90,,Foreign,Local,,C,1968,11.76,512266,6,,East Toronto,Suburban,M3C 1K4,Toronto,Canada
4125 Lawrence Ave,Toronto,ON,Office,"42,665",2 Star,"$3,975,000",93.17,2022-08-31,Sold,"4,500,000",,,,,Sincere Realty Inc,B,1981,0.84,36448,2,CR,Scarborough,Suburban,M1E 2S2,Toronto,Canada
82 Berkeley St,Toronto,ON,Office,"5,000",2 Star,"$6,100,000","1,220.00",2022-08-30,Sold,,,,Local,Local,,C,1964,0.08,3485,2,CR SS1 (x339),Downtown East,CBD,M5A 2W7,Toronto,Canada
1033 Bay St (Part of Multi-Condo Sale),Toronto,ON,Office,656,3 Star,,,2022-08-30,Sold,,,,Local,Local,,C,1987,,,3,CR,Midtown,Urban,M5S 3A5,Toronto,Canada
1033 Bay St (Part of Multi-Condo Sale),Toronto,ON,Office,825,3 Star,,,2022-08-30,Sold,,,,Local,Local,,C,1987,,,3,CR,Midtown,Urban,M5S 3A5,Toronto,Canada
333 Bering Ave,Toronto,ON,Office,"1,971",3 Star,"$1,225,000",621.51,2022-08-29,Sold,,,,National,Local,CPM Realty Corporation,B,2012,0.29,12589,3,E 1.0,427 Corridor,Urban,M8Z 3A8,Toronto,Canada
110 Eglinton Ave E,Toronto,ON,Office,"89,370",3 Star,"$41,000,000",458.77,2022-08-26,Sold,,,,Local,Foreign,,B,1980,0.50,21780,7,CR-5,Midtown,Urban,M4P 1A6,Toronto,Canada
10 Beamish Dr,Toronto,ON,Office,"1,489",1 Star,"$6,000,000","4,029.55",2022-08-22,Sold,,,,Local,Local,,C,1960,0.13,5850,2,CR,427 Corridor,Urban,M9B 3P3,Toronto,Canada
