Period,Demolished SF
2027 Q4,"(99,517)"
2027 Q3,"(99,448)"
2027 Q2,"(99,381)"
2027 Q1,"(99,334)"
2026 Q4,"(99,262)"
2026 Q3,"(99,256)"
2026 Q2,"(99,196)"
2026 Q1,"(99,195)"
2025 Q4,"(99,123)"
2025 Q3,"(105,861)"
2025 Q2,"(105,834)"
2025 Q1,"(105,506)"
2024 Q4,"(105,713)"
2024 Q3,"(105,757)"
2024 Q2,"(104,693)"
2024 Q1,"(99,492)"
2023 Q4,"(104,332)"
2023 Q3,"(99,632)"
2023 Q2,"(98,869)"
2023 Q1,"(100,069)"
2022 Q4 EST,0 
2022 Q4 QTD,-
2022 Q3,"(56,821)"
2022 Q2,"(155,861)"
2022 Q1,"(29,154)"
2021 Q4,"(147,581)"
2021 Q3,"(122,739)"
2021 Q2,0 
2021 Q1,"(1,943)"
2020 Q4,"(24,455)"
2020 Q3,"(167,098)"
2020 Q2,"(119,412)"
2020 Q1,"(88,673)"
2019 Q4,"(185,086)"
2019 Q3,"(231,239)"
2019 Q2,"(217,468)"
2019 Q1,"(197,363)"
2018 Q4,"(72,414)"
2018 Q3,"(139,076)"
2018 Q2,"(43,219)"
2018 Q1,"(6,151)"
2017 Q4,"(34,447)"
2017 Q3,"(9,770)"
2017 Q2,"(191,259)"
2017 Q1,"(14,134)"
2016 Q4,"(253,854)"
2016 Q3,"(127,328)"
2016 Q2,"(120,143)"
2016 Q1,"(11,295)"
2015 Q4,"(116,460)"
2015 Q3,"(59,916)"
2015 Q2,"(73,281)"
2015 Q1,"(25,748)"
2014 Q4,0 
2014 Q3,0 
2014 Q2,"(42,051)"
2014 Q1,"(133,059)"
2013 Q4,"(140,018)"
2013 Q3,"(122,631)"
2013 Q2,"(587,566)"
2013 Q1,0 
