Period,CBD,Urban,Suburban
2027 Q4,$567 ,$454 ,$366 
2027 Q3,$562 ,$450 ,$363 
2027 Q2,$557 ,$447 ,$360 
2027 Q1,$552 ,$443 ,$357 
2026 Q4,$547 ,$439 ,$353 
2026 Q3,$542 ,$435 ,$350 
2026 Q2,$538 ,$431 ,$347 
2026 Q1,$533 ,$427 ,$344 
2025 Q4,$529 ,$424 ,$341 
2025 Q3,$526 ,$421 ,$339 
2025 Q2,$523 ,$420 ,$338 
2025 Q1,$522 ,$419 ,$337 
2024 Q4,$522 ,$419 ,$337 
2024 Q3,$523 ,$419 ,$337 
2024 Q2,$524 ,$420 ,$338 
2024 Q1,$526 ,$422 ,$339 
2023 Q4,$528 ,$424 ,$340 
2023 Q3,$532 ,$426 ,$342 
2023 Q2,$535 ,$429 ,$344 
2023 Q1,$538 ,$431 ,$346 
2022 Q4 EST,$541 ,$433 ,$348 
2022 Q4 QTD,$547 ,$429 ,$350 
2022 Q3,$546 ,$428 ,$348 
2022 Q2,$551 ,$430 ,$348 
2022 Q1,$551 ,$429 ,$345 
2021 Q4,$551 ,$428 ,$344 
2021 Q3,$587 ,$437 ,$348 
2021 Q2,$576 ,$428 ,$340 
2021 Q1,$565 ,$418 ,$332 
2020 Q4,$565 ,$417 ,$330 
2020 Q3,$560 ,$412 ,$326 
2020 Q2,$552 ,$408 ,$326 
2020 Q1,$552 ,$406 ,$324 
2019 Q4,$549 ,$404 ,$322 
2019 Q3,$490 ,$385 ,$309 
2019 Q2,$480 ,$377 ,$305 
2019 Q1,$476 ,$375 ,$303 
2018 Q4,$485 ,$379 ,$305 
2018 Q3,$482 ,$373 ,$301 
2018 Q2,$481 ,$374 ,$301 
2018 Q1,$487 ,$374 ,$301 
2017 Q4,$475 ,$366 ,$297 
2017 Q3,$470 ,$362 ,$294 
2017 Q2,$468 ,$361 ,$290 
2017 Q1,$457 ,$354 ,$287 
2016 Q4,$450 ,$350 ,$283 
2016 Q3,$448 ,$351 ,$286 
2016 Q2,$447 ,$349 ,$286 
2016 Q1,$446 ,$348 ,$285 
2015 Q4,$439 ,$343 ,$281 
2015 Q3,$442 ,$344 ,$283 
2015 Q2,$432 ,$337 ,$277 
2015 Q1,$425 ,$331 ,$274 
2014 Q4,$422 ,$321 ,$268 
2014 Q3,$402 ,$312 ,$262 
2014 Q2,$390 ,$303 ,$255 
2014 Q1,$384 ,$301 ,$253 
2013 Q4,$373 ,$291 ,$245 
2013 Q3,$363 ,$285 ,$241 
2013 Q2,$359 ,$283 ,$240 
2013 Q1,$357 ,$280 ,$238 
