Period,Current Search
2022 Q4 QTD,12.6 
2022 Q3,12.5 
2022 Q2,12.6 
2022 Q1,12.5 
2021 Q4,11.9 
2021 Q3,13.1 
2021 Q2,12.3 
2021 Q1,10.6 
2020 Q4,9.8 
2020 Q3,8.7 
2020 Q2,8.2 
2020 Q1,8.4 
2019 Q4,8.8 
2019 Q3,8.5 
2019 Q2,8.0 
2019 Q1,8.5 
2018 Q4,8.4 
2018 Q3,7.6 
2018 Q2,8.2 
2018 Q1,9.7 
2017 Q4,10.4 
2017 Q3,10.6 
2017 Q2,10.8 
2017 Q1,11.3 
2016 Q4,11.3 
2016 Q3,12.2 
2016 Q2,12.7 
2016 Q1,12.4 
2015 Q4,12.3 
2015 Q3,13.2 
2015 Q2,12.9 
2015 Q1,13.0 
2014 Q4,13.4 
2014 Q3,12.5 
2014 Q2,11.2 
2014 Q1,9.6 
2013 Q4,8.4 
2013 Q3,6.8 
2013 Q2,5.4 
2013 Q1,3.7 
