Period,Current Search
2022 Q4 QTD,12.3 
2022 Q3,12.8 
2022 Q2,11.0 
2022 Q1,10.8 
2021 Q4,11.7 
2021 Q3,10.7 
2021 Q2,9.0 
2021 Q1,8.9 
2020 Q4,6.7 
2020 Q3,6.6 
2020 Q2,7.8 
2020 Q1,7.8 
2019 Q4,7.3 
2019 Q3,7.2 
2019 Q2,6.5 
2019 Q1,6.4 
2018 Q4,6.9 
2018 Q3,6.3 
2018 Q2,6.6 
2018 Q1,7.6 
2017 Q4,7.4 
2017 Q3,8.3 
2017 Q2,9.1 
2017 Q1,8.0 
2016 Q4,8.6 
2016 Q3,9.1 
2016 Q2,10.3 
2016 Q1,10.3 
2015 Q4,10.4 
2015 Q3,9.7 
2015 Q2,10.4 
2015 Q1,11.2 
2014 Q4,11.2 
2014 Q3,9.6 
2014 Q2,8.6 
2014 Q1,8.3 
2013 Q4,7.1 
2013 Q3,5.7 
2013 Q2,4.1 
2013 Q1,2.2 
