,,,,Sales Volume by Buyer Type,,,,,Sales Volume by Seller Type,,,,,Sales Volume by Transaction Type,,,,,Cap Rate by Location,,,Cap Rate by Location,,,,,Market Cap Rate by Location,,,Market Cap Rate by Rating,,,,,,Average Cap Rate by Origin,,
Period,# of Transactions,% of Search,Sales Volume,Institutional,REIT/Public,Private Equity,Private,User,Institutional,REIT/Public,Private Equity,Private,User,Individual Sale,Portfolio Sale,Condo Sale,Entity Sale,Cap Rate,CBD,Urban,Suburban,Individual Sale,Portfolio Sale,Condo Sale,Entity Sale,Market Cap Rate,CBD,Urban,Suburban,102 Star,3 Star,405 Star,Transaction Cap Rate,Average Actual Cap Rate,Median Actual Cap Rate,Local,National,Foreign
2022-09-30,27,1.20%,"$213,679,893","$93,574,966","$17,633,043","$16,917,953","$197,481,715","$26,594,831","$32,877,842","$79,612,065","$5,876,287","$113,180,604","$103,243,087","$355,143,886","$401,168,947","$25,868,400",0,5.43%,0,5.88%,4.55%,5.88%,0,4.55%,0,5.38%,5.15%,5.35%,5.58%,4.93%,5.43%,5.44%,5.82%,0,0,5.15%,4.44%,2.28%
2022-06-30,47,2.00%,"$547,303,263","$252,988,480","$4,950,000","$6,048,690","$213,604,314","$163,100,594","$413,077,347","$15,000,000","$316,500","$297,668,088","$64,529,185","$437,380,778","$695,588,686","$42,028,268",0,5.82%,0,6.00%,5.74%,5.82%,0,0,0,5.36%,5.11%,5.33%,5.57%,4.92%,5.42%,5.41%,4.55%,0,0,5.81%,5.86%,0
2022-03-31,52,2.20%,"$1,878,496,121","$5,713,666","$392,750,000","$35,500,000","$942,408,558","$46,210,841","$806,961,235","$35,500,000",0,"$223,872,728","$40,379,490","$306,833,258","$1,747,278,825","$30,287,301",0,4.55%,0,4.10%,5.00%,4.55%,0,0,0,5.35%,5.10%,5.33%,5.58%,4.92%,5.42%,5.39%,4.84%,4.10%,4.10%,5.00%,4.10%,0
2021-12-31,54,2.30%,"$551,852,921","$234,685,507",0,"$107,934,903","$544,232,303","$76,959,486","$307,041,054","$228,422,236","$17,000,000","$393,413,930","$148,837,986","$786,342,248","$966,780,895","$18,824,111",0,4.84%,0,2.30%,5.68%,4.84%,0,0,0,5.35%,5.09%,5.33%,5.58%,4.93%,5.42%,5.39%,5.41%,3.70%,3.70%,4.30%,4.03%,2.98%
2021-09-30,56,2.40%,"$550,838,212","$225,262,498","$27,500,000",$0,"$268,499,824","$130,111,951","$214,170,830","$18,291,451",0,"$220,738,744","$66,750,443","$421,442,390","$357,817,005","$26,165,569",0,5.41%,0,0,5.41%,5.41%,0,0,0,5.32%,4.97%,5.33%,5.61%,4.97%,5.45%,5.27%,4.98%,0,0,4.82%,3.60%,0
2021-06-30,45,1.90%,"$96,902,611","$46,038,396",0,0,"$118,051,893","$63,912,713",0,"$11,900,000",$0,"$185,085,348","$16,332,267","$166,895,125","$98,419,133","$13,878,205",0,4.98%,0,4.98%,0,4.98%,0,0,0,5.39%,5.02%,5.39%,5.69%,5.03%,5.53%,5.33%,5.01%,0,0,2.49%,2.49%,0
2021-03-31,46,2.00%,"$262,181,880","$39,861,145","$31,800,000","$8,666,666","$199,780,717","$38,226,616","$35,878,593",$0,"$4,974,999","$199,929,315","$53,489,344","$278,694,681","$171,236,221","$10,701,422",0,5.01%,4.00%,6.12%,4.98%,5.01%,0,0,0,5.48%,5.10%,5.49%,5.79%,5.11%,5.62%,5.42%,5.57%,5.00%,4.90%,4.77%,6.00%,0
2020-12-31,37,1.60%,"$262,592,468","$246,736,173","$5,750,000",0,"$194,142,111","$19,405,833","$141,902,839","$56,999,999",0,"$114,174,211","$121,118,013","$414,122,863","$177,799,787","$21,726,695",0,5.57%,0,5.73%,5.47%,5.61%,0,5.44%,0,5.51%,5.11%,5.52%,5.83%,5.13%,5.66%,5.44%,5.00%,7.00%,7.00%,4.60%,4.85%,0
2020-09-30,32,1.40%,"$390,777,007","$160,281,331",0,0,"$171,867,759","$30,271,198",0,0,0,"$91,088,751","$223,127,332","$238,300,532","$174,943,257","$21,997,050",0,5.00%,0,4.00%,6.00%,5.00%,0,0,0,5.56%,5.16%,5.59%,5.88%,5.17%,5.72%,5.50%,5.83%,4.00%,4.00%,5.00%,0,0
