Period,Local,National,Foreign
2022 Q4 QTD,-,-,-
2022 Q3,$307 ,$324 ,$310 
2022 Q2,$301 ,$322 ,$659 
2022 Q1,$481 ,$498 ,$528 
2021 Q4,$270 ,$373 ,$435 
2021 Q3,$406 ,$402 ,$764 
2021 Q2,$244 ,$216 ,$308 
2021 Q1,$362 ,$400 ,$531 
2020 Q4,$336 ,$286 ,$464 
2020 Q3,$408 ,$862 ,$611 
2020 Q2,$401 ,$345 ,$415 
2020 Q1,$367 ,"$1,023 ",$296 
2019 Q4,$298 ,$511 ,$628 
2019 Q3,$399 ,$461 ,$417 
2019 Q2,$394 ,$294 ,$329 
2019 Q1,$482 ,$616 ,$331 
2018 Q4,$305 ,$284 ,$247 
2018 Q3,$264 ,$327 ,$298 
2018 Q2,$312 ,$491 ,$267 
2018 Q1,$256 ,$593 ,$667 
2017 Q4,$342 ,$320 ,$324 
2017 Q3,$367 ,$465 ,$370 
2017 Q2,$338 ,$236 ,$291 
2017 Q1,$295 ,$752 ,$490 
2016 Q4,$260 ,$452 ,$288 
2016 Q3,$496 ,$440 ,$209 
2016 Q2,$227 ,$178 ,$248 
2016 Q1,$209 ,$259 ,$601 
2015 Q4,$279 ,$311 ,$271 
2015 Q3,$292 ,$248 ,$411 
2015 Q2,$221 ,$387 ,$312 
2015 Q1,$216 ,$261 ,$83 
2014 Q4,$342 ,$369 ,$173 
2014 Q3,$310 ,$327 ,$535 
2014 Q2,$243 ,$214 ,$236 
2014 Q1,$281 ,$200 ,$286 
2013 Q4,$226 ,$222 ,$154 
2013 Q3,$428 ,$255 ,$340 
2013 Q2,$269 ,$232 ,$222 
2013 Q1,$190 ,$348 ,$224 
