Period,Canadian Quartelry Interest rate 
2012-01-01,2.035939394
2012-04-01,1.911463925
2012-07-01,1.773634465
2012-10-01,1.772602719
2013-01-01,1.916919458
2013-04-01,1.964984849
2013-07-01,2.582536796
2013-10-01,2.583393939
2014-01-01,2.469458874
2014-04-01,2.352857143
2014-07-01,2.145832612
2014-10-01,1.955172401
2015-01-01,1.442183869
2015-04-01,1.644984127
2015-07-01,1.480824675
2015-10-01,1.518785714
2016-01-01,1.216893939
2016-04-01,1.284790765
2016-07-01,1.059972583
2016-10-01,1.445373016
2017-01-01,1.71294468
2017-04-01,1.513022329
2017-07-01,1.947045455
2017-10-01,1.961595656
2018-01-01,2.236987924
2018-04-01,2.277849928
2018-07-01,2.278760538
2018-10-01,2.31805005
2019-01-01,1.857795246
2019-04-01,1.61711039
2019-07-01,1.362776335
2019-10-01,1.517848485
2020-01-01,1.202033493
2020-04-01,0.589835498
2020-07-01,0.546462482
2020-10-01,0.674103175
2021-01-01,1.133831808
2021-04-01,1.488396825
2021-07-01,1.235444444
2021-10-01,1.577571429
2022-01-01,1.923549199
2022-04-01,2.979341991
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
