Period,Current Search
2027 Q4,5.411% 
2027 Q3,5.411% 
2027 Q2,5.411% 
2027 Q1,5.411% 
2026 Q4,5.411% 
2026 Q3,5.421% 
2026 Q2,5.421% 
2026 Q1,5.431% 
2025 Q4,5.431% 
2025 Q3,5.441% 
2025 Q2,5.441% 
2025 Q1,5.451% 
2024 Q4,5.451% 
2024 Q3,5.451% 
2024 Q2,5.451% 
2024 Q1,5.461% 
2023 Q4,5.461% 
2023 Q3,5.451% 
2023 Q2,5.451% 
2023 Q1,5.441% 
2022 Q4 EST,5.421% 
2022 Q4 QTD,5.381% 
2022 Q3,5.378% 
2022 Q2,5.356% 
2022 Q1,5.353% 
2021 Q4,5.351% 
2021 Q3,5.319% 
2021 Q2,5.385% 
2021 Q1,5.478% 
2020 Q4,5.507% 
2020 Q3,5.560% 
2020 Q2,5.589% 
2020 Q1,5.589% 
2019 Q4,5.568% 
2019 Q3,5.658% 
2019 Q2,5.652% 
2019 Q1,5.641% 
2018 Q4,5.585% 
2018 Q3,5.563% 
2018 Q2,5.498% 
2018 Q1,5.454% 
2017 Q4,5.449% 
2017 Q3,5.461% 
2017 Q2,5.456% 
2017 Q1,5.479% 
2016 Q4,5.497% 
2016 Q3,5.457% 
2016 Q2,5.413% 
2016 Q1,5.415% 
2015 Q4,5.439% 
2015 Q3,5.455% 
2015 Q2,5.546% 
2015 Q1,5.616% 
2014 Q4,5.705% 
2014 Q3,5.848% 
2014 Q2,5.952% 
2014 Q1,6.013% 
2013 Q4,6.053% 
2013 Q3,6.129% 
2013 Q2,6.163% 
2013 Q1,6.254% 
