Period,Current Search
2027 Q4,2.783% 
2027 Q3,2.787% 
2027 Q2,2.768% 
2027 Q1,2.712% 
2026 Q4,2.605% 
2026 Q3,2.413% 
2026 Q2,2.115% 
2026 Q1,1.712% 
2025 Q4,1.249% 
2025 Q3,0.737% 
2025 Q2,0.234% 
2025 Q1,-0.185%
2024 Q4,-0.559%
2024 Q3,-0.835%
2024 Q2,-1.022%
2024 Q1,-0.947%
2023 Q4,-0.584%
2023 Q3,0.590% 
2023 Q2,1.207% 
2023 Q1,1.572% 
2022 Q4 EST,1.312% 
2022 Q4 QTD,1.105% 
2022 Q3,0.698% 
2022 Q2,1.487% 
2022 Q1,2.005% 
2021 Q4,1.385% 
2021 Q3,1.227% 
2021 Q2,0.556% 
2021 Q1,-0.447%
2020 Q4,0.359% 
2020 Q3,0.725% 
2020 Q2,1.443% 
2020 Q1,3.606% 
2019 Q4,3.152% 
2019 Q3,4.800% 
2019 Q2,5.450% 
2019 Q1,4.890% 
2018 Q4,6.783% 
2018 Q3,5.237% 
2018 Q2,4.264% 
2018 Q1,4.879% 
2017 Q4,6.034% 
2017 Q3,5.670% 
2017 Q2,6.185% 
2017 Q1,4.789% 
2016 Q4,1.821% 
2016 Q3,2.385% 
2016 Q2,1.110% 
2016 Q1,1.011% 
2015 Q4,2.662% 
2015 Q3,3.576% 
2015 Q2,5.184% 
2015 Q1,5.773% 
2014 Q4,5.779% 
2014 Q3,4.867% 
2014 Q2,3.063% 
2014 Q1,-
2013 Q4,-
2013 Q3,-
2013 Q2,-
2013 Q1,-
