Period,Market Sale Price/SF,Transaction Sale Price/SF
2027 Q4,$457 ,-
2027 Q3,$453 ,-
2027 Q2,$449 ,-
2027 Q1,$445 ,-
2026 Q4,$441 ,-
2026 Q3,$437 ,-
2026 Q2,$433 ,-
2026 Q1,$429 ,-
2025 Q4,$426 ,-
2025 Q3,$423 ,-
2025 Q2,$422 ,-
2025 Q1,$420 ,-
2024 Q4,$420 ,-
2024 Q3,$421 ,-
2024 Q2,$422 ,-
2024 Q1,$424 ,-
2023 Q4,$425 ,-
2023 Q3,$428 ,-
2023 Q2,$430 ,-
2023 Q1,$432 ,-
2022 Q4 EST,$435 ,-
2022 Q4 QTD,$437 ,-
2022 Q3,$436 ,$272 
2022 Q2,$438 ,$316 
2022 Q1,$437 ,$467 
2021 Q4,$436 ,$376 
2021 Q3,$453 ,$398 
2021 Q2,$444 ,$218 
2021 Q1,$434 ,$364 
2020 Q4,$433 ,$288 
2020 Q3,$429 ,$410 
2020 Q2,$425 ,$353 
2020 Q1,$424 ,$350 
2019 Q4,$422 ,$378 
2019 Q3,$390 ,$398 
2019 Q2,$383 ,$358 
2019 Q1,$381 ,$480 
2018 Q4,$385 ,$257 
2018 Q3,$382 ,$267 
2018 Q2,$381 ,$274 
2018 Q1,$383 ,$414 
2017 Q4,$376 ,$327 
2017 Q3,$372 ,$382 
2017 Q2,$369 ,$316 
2017 Q1,$362 ,$405 
2016 Q4,$357 ,$299 
2016 Q3,$358 ,$484 
2016 Q2,$357 ,$222 
2016 Q1,$356 ,$239 
2015 Q4,$351 ,$281 
2015 Q3,$353 ,$285 
2015 Q2,$345 ,$229 
2015 Q1,$341 ,$164 
2014 Q4,$335 ,$333 
2014 Q3,$323 ,$333 
2014 Q2,$314 ,$239 
2014 Q1,$311 ,$266 
2013 Q4,$301 ,$212 
2013 Q3,$295 ,$397 
2013 Q2,$292 ,$266 
2013 Q1,$290 ,$218 
