Period,Institutional,REIT/Public,Private Equity,Private,User
2022 Q4 QTD,-,-,-,-,-
2022 Q3,"$32,877,842 ","$79,612,065 ","$5,876,287 ","$113,180,604 ","$103,243,087 "
2022 Q2,"$413,077,347 ","$15,000,000 ","$316,500 ","$297,668,088 ","$64,529,185 "
2022 Q1,"$806,961,235 ","$35,500,000 ",-,"$223,872,728 ","$40,379,490 "
2021 Q4,"$307,041,054 ","$228,422,236 ","$17,000,000 ","$393,413,930 ","$148,837,986 "
2021 Q3,"$214,170,830 ","$18,291,451 ",-,"$220,738,744 ","$66,750,443 "
2021 Q2,-,"$11,900,000 ",$0 ,"$185,085,348 ","$16,332,267 "
2021 Q1,"$35,878,593 ",$0 ,"$4,974,999 ","$199,929,315 ","$53,489,344 "
2020 Q4,"$141,902,839 ","$56,999,999 ",-,"$114,174,211 ","$121,118,013 "
2020 Q3,-,-,-,"$91,088,751 ","$223,127,332 "
2020 Q2,"$42,200,000 ",-,-,"$76,618,271 ","$49,949,520 "
2020 Q1,"$261,149,997 ",-,"$66,299,998 ","$322,694,225 ","$31,084,873 "
2019 Q4,"$624,474,999 ","$132,056,790 ","$52,200,000 ","$399,467,644 ","$86,519,500 "
2019 Q3,"$155,607,332 ","$170,559,716 ","$209,400,713 ","$280,086,576 ","$24,827,200 "
2019 Q2,"$183,657,019 ","$531,112,774 ","$126,179,746 ","$207,593,457 ","$77,577,780 "
2019 Q1,"$528,051,026 ",-,"$32,666,666 ","$55,105,464 ","$297,903,559 "
2018 Q4,"$75,133,331 ",-,"$172,268,475 ","$82,990,674 ","$90,655,000 "
2018 Q3,"$199,350,000 ","$59,999,951 ","$142,374,279 ","$76,652,983 ","$36,291,965 "
2018 Q2,"$236,398,671 ",$0 ,"$38,100,000 ","$193,211,543 ","$131,377,500 "
2018 Q1,"$31,275,000 ","$245,786,266 ","$800,657,500 ","$67,930,702 ","$61,783,221 "
2017 Q4,"$146,005,678 ",-,"$643,200 ","$110,487,247 ","$73,068,888 "
2017 Q3,"$221,707,500 ","$1,260,550,568 ","$53,571,571 ","$355,846,969 ","$45,314,263 "
2017 Q2,"$146,414,265 ","$153,860,265 ","$9,750,000 ","$53,754,470 ","$342,490,057 "
2017 Q1,"$61,216,665 ",-,"$163,750 ","$68,832,144 ","$365,241,665 "
2016 Q4,"$195,640,770 ",$0 ,-,"$91,479,816 ","$41,998,063 "
2016 Q3,"$944,549,672 ","$13,300,000 ","$31,543,502 ","$208,718,155 ","$42,753,902 "
2016 Q2,"$52,116,909 ","$100,780,943 ","$57,525,000 ","$251,257,009 ","$46,690,499 "
2016 Q1,"$122,015,708 ",-,"$8,900,000 ","$174,898,688 ","$71,440,500 "
2015 Q4,"$584,788,810 ",-,"$9,775,162 ","$446,318,597 ","$120,306,016 "
2015 Q3,"$108,650,000 ",-,"$49,945,015 ","$110,979,275 ","$145,708,456 "
2015 Q2,"$131,057,000 ","$3,125,000 ",-,"$104,036,067 ","$77,839,551 "
2015 Q1,"$106,691,189 ","$54,104,000 ","$51,266,666 ","$131,728,829 ","$7,873,094 "
2014 Q4,"$533,485,678 ","$3,150,000 ","$41,600,000 ","$150,092,064 ","$26,645,000 "
2014 Q3,"$69,185,000 ",-,"$54,000,000 ","$483,622,976 ","$26,806,022 "
2014 Q2,"$73,890,349 ","$10,050,000 ","$6,733,871 ","$150,676,672 ","$61,960,318 "
2014 Q1,"$161,374,998 ",-,"$4,235,463 ","$539,885,276 ","$127,203,022 "
2013 Q4,"$449,875,001 ",$0 ,-,"$15,611,315 ","$43,935,500 "
2013 Q3,"$47,486,998 ",-,"$634,167,362 ","$47,676,999 ","$5,886,950 "
2013 Q2,"$264,915,341 ","$25,000,000 ","$150,240,000 ","$205,053,474 ","$817,632,598 "
2013 Q1,"$2,860,000 ","$14,159,352 ",-,"$47,186,527 ","$36,809,458 "
