Period,Vacancy Rate,Market Rent/SF
2027 Q4,9.906% ,$42.73 
2027 Q3,10.110% ,$42.44 
2027 Q2,10.321% ,$42.15 
2027 Q1,10.546% ,$41.86 
2026 Q4,10.345% ,$41.57 
2026 Q3,10.599% ,$41.29 
2026 Q2,10.872% ,$41.01 
2026 Q1,11.148% ,$40.75 
2025 Q4,11.383% ,$40.52 
2025 Q3,11.648% ,$40.31 
2025 Q2,11.876% ,$40.16 
2025 Q1,12.109% ,$40.06 
2024 Q4,12.112% ,$40.02 
2024 Q3,12.205% ,$40.02 
2024 Q2,12.210% ,$40.07 
2024 Q1,12.218% ,$40.14 
2023 Q4,11.586% ,$40.24 
2023 Q3,11.481% ,$40.36 
2023 Q2,10.942% ,$40.48 
2023 Q1,10.217% ,$40.52 
2022 Q4 EST,9.548% ,$40.48 
2022 Q4 QTD,8.650% ,$40.29 
2022 Q3,8.497% ,$40.12 
2022 Q2,8.172% ,$40.00 
2022 Q1,7.813% ,$39.90 
2021 Q4,7.321% ,$39.95 
2021 Q3,6.537% ,$39.84 
2021 Q2,6.264% ,$39.41 
2021 Q1,6.013% ,$39.11 
2020 Q4,5.472% ,$39.41 
2020 Q3,4.763% ,$39.36 
2020 Q2,4.494% ,$39.20 
2020 Q1,4.289% ,$39.29 
2019 Q4,4.377% ,$39.27 
2019 Q3,4.441% ,$39.07 
2019 Q2,4.609% ,$38.64 
2019 Q1,4.603% ,$37.92 
2018 Q4,4.703% ,$38.07 
2018 Q3,5.360% ,$37.29 
2018 Q2,5.730% ,$36.64 
2018 Q1,5.784% ,$36.15 
2017 Q4,6.120% ,$35.65 
2017 Q3,6.252% ,$35.43 
2017 Q2,6.139% ,$35.14 
2017 Q1,6.199% ,$34.47 
2016 Q4,6.319% ,$33.62 
2016 Q3,6.481% ,$33.53 
2016 Q2,6.430% ,$33.10 
2016 Q1,6.786% ,$32.90 
2015 Q4,6.952% ,$33.02 
2015 Q3,6.934% ,$32.75 
2015 Q2,6.947% ,$32.73 
2015 Q1,6.836% ,$32.57 
2014 Q4,6.713% ,$32.16 
2014 Q3,6.483% ,$31.62 
2014 Q2,6.519% ,$31.12 
2014 Q1,6.519% ,$30.79 
2013 Q4,6.529% ,$30.41 
2013 Q3,6.883% ,$30.15 
2013 Q2,6.937% ,$30.19 
2013 Q1,8.067% ,-
