Period,Current Search
2027 Q4,9.906% 
2027 Q3,10.110% 
2027 Q2,10.321% 
2027 Q1,10.546% 
2026 Q4,10.345% 
2026 Q3,10.599% 
2026 Q2,10.872% 
2026 Q1,11.148% 
2025 Q4,11.383% 
2025 Q3,11.648% 
2025 Q2,11.876% 
2025 Q1,12.109% 
2024 Q4,12.112% 
2024 Q3,12.205% 
2024 Q2,12.210% 
2024 Q1,12.218% 
2023 Q4,11.586% 
2023 Q3,11.481% 
2023 Q2,10.942% 
2023 Q1,10.217% 
2022 Q4 EST,9.548% 
2022 Q4 QTD,8.650% 
2022 Q3,8.497% 
2022 Q2,8.172% 
2022 Q1,7.813% 
2021 Q4,7.321% 
2021 Q3,6.537% 
2021 Q2,6.264% 
2021 Q1,6.013% 
2020 Q4,5.472% 
2020 Q3,4.763% 
2020 Q2,4.494% 
2020 Q1,4.289% 
2019 Q4,4.377% 
2019 Q3,4.441% 
2019 Q2,4.609% 
2019 Q1,4.603% 
2018 Q4,4.703% 
2018 Q3,5.360% 
2018 Q2,5.730% 
2018 Q1,5.784% 
2017 Q4,6.120% 
2017 Q3,6.252% 
2017 Q2,6.139% 
2017 Q1,6.199% 
2016 Q4,6.319% 
2016 Q3,6.481% 
2016 Q2,6.430% 
2016 Q1,6.786% 
2015 Q4,6.952% 
2015 Q3,6.934% 
2015 Q2,6.947% 
2015 Q1,6.836% 
2014 Q4,6.713% 
2014 Q3,6.483% 
2014 Q2,6.519% 
2014 Q1,6.519% 
2013 Q4,6.529% 
2013 Q3,6.883% 
2013 Q2,6.937% 
2013 Q1,8.067% 
