Period,Individual Sale,Portfolio Sale,Condo Sale,Entity Sale
2022 Q4 QTD,-,-,-,-
2022 Q3,5.875% ,-,4.550% ,-
2022 Q2,5.823% ,-,-,-
2022 Q1,4.550% ,-,-,-
2021 Q4,4.838% ,-,-,-
2021 Q3,5.410% ,-,-,-
2021 Q2,4.980% ,-,-,-
2021 Q1,5.012% ,-,-,-
2020 Q4,5.608% ,-,5.435% ,-
2020 Q3,5.000% ,-,-,-
2020 Q2,4.515% ,-,11.110% ,-
2020 Q1,4.850% ,-,-,-
2019 Q4,5.052% ,-,-,-
2019 Q3,4.802% ,-,-,-
2019 Q2,4.461% ,-,7.855% ,-
2019 Q1,2.200% ,-,-,-
2018 Q4,5.050% ,-,-,-
2018 Q3,5.047% ,-,-,-
2018 Q2,5.617% ,-,-,-
2018 Q1,5.928% ,-,-,-
2017 Q4,3.840% ,-,-,-
2017 Q3,4.360% ,-,-,-
2017 Q2,5.333% ,-,4.165% ,-
2017 Q1,5.194% ,-,-,-
2016 Q4,5.875% ,-,7.000% ,-
2016 Q3,5.855% ,-,4.600% ,-
2016 Q2,6.431% ,-,-,-
2016 Q1,4.230% ,-,-,-
2015 Q4,6.157% ,-,-,-
2015 Q3,5.600% ,-,-,-
2015 Q2,6.000% ,-,-,-
2015 Q1,5.187% ,-,-,-
2014 Q4,6.083% ,-,5.000% ,-
2014 Q3,6.237% ,-,7.500% ,-
2014 Q2,5.805% ,-,-,-
2014 Q1,5.250% ,-,6.000% ,-
2013 Q4,-,-,-,-
2013 Q3,6.598% ,-,-,-
2013 Q2,6.070% ,-,6.000% ,-
2013 Q1,-,-,-,-
