Period,Current Search
2022 Q4 QTD,-
2022 Q3,"388,256"
2022 Q2,"246,535"
2022 Q1,"2,107,841"
2021 Q4,"873,633"
2021 Q3,"2,200,945"
2021 Q2,"375,007"
2021 Q1,"1,554,506"
2020 Q4,"367,500"
2020 Q3,"75,500"
2020 Q2,"1,244,493"
2020 Q1,"1,111,361"
2019 Q4,"674,859"
2019 Q3,"436,916"
2019 Q2,"2,083,930"
2019 Q1,"765,881"
2018 Q4,"2,191,649"
2018 Q3,"2,536,511"
2018 Q2,"639,497"
2018 Q1,"1,149,400"
2017 Q4,"602,098"
2017 Q3,"406,490"
2017 Q2,"3,045,807"
2017 Q1,"622,817"
2016 Q4,"434,175"
2016 Q3,"148,834"
2016 Q2,"317,151"
2016 Q1,"494,097"
2015 Q4,"264,394"
2015 Q3,"648,208"
2015 Q2,"528,982"
2015 Q1,"111,128"
2014 Q4,"631,726"
2014 Q3,"1,266,468"
2014 Q2,"680,530"
2014 Q1,"544,503"
2013 Q4,"1,278,181"
2013 Q3,"911,279"
2013 Q2,"6,722,486"
2013 Q1,0
