Period,CBD,Urban,Suburban
2027 Q4,5.182% ,5.385% ,5.610% 
2027 Q3,5.182% ,5.385% ,5.610% 
2027 Q2,5.182% ,5.385% ,5.610% 
2027 Q1,5.182% ,5.385% ,5.610% 
2026 Q4,5.182% ,5.385% ,5.610% 
2026 Q3,5.192% ,5.395% ,5.620% 
2026 Q2,5.192% ,5.395% ,5.620% 
2026 Q1,5.202% ,5.405% ,5.630% 
2025 Q4,5.202% ,5.405% ,5.630% 
2025 Q3,5.212% ,5.415% ,5.640% 
2025 Q2,5.212% ,5.415% ,5.640% 
2025 Q1,5.222% ,5.425% ,5.650% 
2024 Q4,5.222% ,5.425% ,5.650% 
2024 Q3,5.222% ,5.425% ,5.650% 
2024 Q2,5.222% ,5.425% ,5.650% 
2024 Q1,5.232% ,5.435% ,5.660% 
2023 Q4,5.232% ,5.435% ,5.660% 
2023 Q3,5.222% ,5.425% ,5.650% 
2023 Q2,5.222% ,5.425% ,5.650% 
2023 Q1,5.212% ,5.415% ,5.640% 
2022 Q4 EST,5.192% ,5.395% ,5.620% 
2022 Q4 QTD,5.152% ,5.355% ,5.580% 
2022 Q3,5.149% ,5.352% ,5.578% 
2022 Q2,5.110% ,5.329% ,5.569% 
2022 Q1,5.096% ,5.328% ,5.576% 
2021 Q4,5.091% ,5.326% ,5.576% 
2021 Q3,4.966% ,5.333% ,5.608% 
2021 Q2,5.018% ,5.394% ,5.687% 
2021 Q1,5.098% ,5.493% ,5.787% 
2020 Q4,5.113% ,5.521% ,5.828% 
2020 Q3,5.159% ,5.587% ,5.884% 
2020 Q2,5.203% ,5.623% ,5.898% 
2020 Q1,5.194% ,5.622% ,5.906% 
2019 Q4,5.176% ,5.599% ,5.882% 
2019 Q3,5.404% ,5.616% ,5.883% 
2019 Q2,5.403% ,5.620% ,5.870% 
2019 Q1,5.396% ,5.609% ,5.855% 
2018 Q4,5.322% ,5.558% ,5.812% 
2018 Q3,5.292% ,5.552% ,5.792% 
2018 Q2,5.233% ,5.481% ,5.724% 
2018 Q1,5.165% ,5.458% ,5.692% 
2017 Q4,5.178% ,5.457% ,5.671% 
2017 Q3,5.192% ,5.469% ,5.682% 
2017 Q2,5.173% ,5.453% ,5.692% 
2017 Q1,5.215% ,5.473% ,5.700% 
2016 Q4,5.239% ,5.479% ,5.718% 
2016 Q3,5.219% ,5.443% ,5.659% 
2016 Q2,5.175% ,5.411% ,5.612% 
2016 Q1,5.175% ,5.416% ,5.613% 
2015 Q4,5.199% ,5.440% ,5.639% 
2015 Q3,5.213% ,5.465% ,5.653% 
2015 Q2,5.303% ,5.539% ,5.749% 
2015 Q1,5.374% ,5.629% ,5.812% 
2014 Q4,5.430% ,5.762% ,5.913% 
2014 Q3,5.608% ,5.884% ,6.035% 
2014 Q2,5.709% ,5.989% ,6.141% 
2014 Q1,5.794% ,6.031% ,6.188% 
2013 Q4,5.818% ,6.082% ,6.238% 
2013 Q3,5.904% ,6.160% ,6.304% 
2013 Q2,5.951% ,6.193% ,6.329% 
2013 Q1,6.031% ,6.287% ,6.428% 
