Period,Current Search
2027 Q4,$42.73 
2027 Q3,$42.44 
2027 Q2,$42.15 
2027 Q1,$41.86 
2026 Q4,$41.57 
2026 Q3,$41.29 
2026 Q2,$41.01 
2026 Q1,$40.75 
2025 Q4,$40.52 
2025 Q3,$40.31 
2025 Q2,$40.16 
2025 Q1,$40.06 
2024 Q4,$40.02 
2024 Q3,$40.02 
2024 Q2,$40.07 
2024 Q1,$40.14 
2023 Q4,$40.24 
2023 Q3,$40.36 
2023 Q2,$40.48 
2023 Q1,$40.52 
2022 Q4 EST,$40.48 
2022 Q4 QTD,$40.29 
2022 Q3,$40.12 
2022 Q2,$40.00 
2022 Q1,$39.90 
2021 Q4,$39.95 
2021 Q3,$39.84 
2021 Q2,$39.41 
2021 Q1,$39.11 
2020 Q4,$39.41 
2020 Q3,$39.36 
2020 Q2,$39.20 
2020 Q1,$39.29 
2019 Q4,$39.27 
2019 Q3,$39.07 
2019 Q2,$38.64 
2019 Q1,$37.92 
2018 Q4,$38.07 
2018 Q3,$37.29 
2018 Q2,$36.64 
2018 Q1,$36.15 
2017 Q4,$35.65 
2017 Q3,$35.43 
2017 Q2,$35.14 
2017 Q1,$34.47 
2016 Q4,$33.62 
2016 Q3,$33.53 
2016 Q2,$33.10 
2016 Q1,$32.90 
2015 Q4,$33.02 
2015 Q3,$32.75 
2015 Q2,$32.73 
2015 Q1,$32.57 
2014 Q4,$32.16 
2014 Q3,$31.62 
2014 Q2,$31.12 
2014 Q1,$30.79 
2013 Q4,$30.41 
2013 Q3,$30.15 
2013 Q2,$30.19 
2013 Q1,-
