Period,Current Search
2027 Q4,$457 
2027 Q3,$453 
2027 Q2,$449 
2027 Q1,$445 
2026 Q4,$441 
2026 Q3,$437 
2026 Q2,$433 
2026 Q1,$429 
2025 Q4,$426 
2025 Q3,$423 
2025 Q2,$422 
2025 Q1,$420 
2024 Q4,$420 
2024 Q3,$421 
2024 Q2,$422 
2024 Q1,$424 
2023 Q4,$425 
2023 Q3,$428 
2023 Q2,$430 
2023 Q1,$432 
2022 Q4 EST,$435 
2022 Q4 QTD,$437 
2022 Q3,$436 
2022 Q2,$438 
2022 Q1,$437 
2021 Q4,$436 
2021 Q3,$453 
2021 Q2,$444 
2021 Q1,$434 
2020 Q4,$433 
2020 Q3,$429 
2020 Q2,$425 
2020 Q1,$424 
2019 Q4,$422 
2019 Q3,$390 
2019 Q2,$383 
2019 Q1,$381 
2018 Q4,$385 
2018 Q3,$382 
2018 Q2,$381 
2018 Q1,$383 
2017 Q4,$376 
2017 Q3,$372 
2017 Q2,$369 
2017 Q1,$362 
2016 Q4,$357 
2016 Q3,$358 
2016 Q2,$357 
2016 Q1,$356 
2015 Q4,$351 
2015 Q3,$353 
2015 Q2,$345 
2015 Q1,$341 
2014 Q4,$335 
2014 Q3,$323 
2014 Q2,$314 
2014 Q1,$311 
2013 Q4,$301 
2013 Q3,$295 
2013 Q2,$292 
2013 Q1,$290 
