Period,Current Search
2022 Q4 QTD,7.2 
2022 Q3,10.1 
2022 Q2,9.4 
2022 Q1,10.0 
2021 Q4,11.5 
2021 Q3,9.9 
2021 Q2,10.7 
2021 Q1,9.2 
2020 Q4,8.0 
2020 Q3,6.0 
2020 Q2,8.7 
2020 Q1,7.6 
2019 Q4,8.6 
2019 Q3,7.3 
2019 Q2,7.4 
2019 Q1,6.4 
2018 Q4,7.8 
2018 Q3,7.4 
2018 Q2,7.2 
2018 Q1,7.8 
2017 Q4,7.4 
2017 Q3,8.5 
2017 Q2,9.5 
2017 Q1,9.1 
2016 Q4,10.1 
2016 Q3,11.1 
2016 Q2,11.7 
2016 Q1,13.6 
2015 Q4,11.6 
2015 Q3,11.0 
2015 Q2,12.1 
2015 Q1,13.0 
2014 Q4,13.7 
2014 Q3,10.0 
2014 Q2,9.4 
2014 Q1,9.1 
2013 Q4,8.1 
2013 Q3,7.0 
2013 Q2,5.2 
2013 Q1,2.9 
