Period,Current Search
2022 Q4 QTD,-
2022 Q3,"$782,181,233 "
2022 Q2,"$1,174,997,732 "
2022 Q1,"$2,084,399,384 "
2021 Q4,"$1,771,947,254 "
2021 Q3,"$805,424,964 "
2021 Q2,"$279,192,463 "
2021 Q1,"$460,632,324 "
2020 Q4,"$613,649,345 "
2020 Q3,"$435,240,839 "
2020 Q2,"$250,469,632 "
2020 Q1,"$856,871,975 "
2019 Q4,"$1,553,894,756 "
2019 Q3,"$1,046,429,982 "
2019 Q2,"$1,218,240,702 "
2019 Q1,"$1,048,141,705 "
2018 Q4,"$734,417,854 "
2018 Q3,"$753,169,205 "
2018 Q2,"$903,326,698 "
2018 Q1,"$1,630,616,803 "
2017 Q4,"$529,584,460 "
2017 Q3,"$2,131,707,305 "
2017 Q2,"$1,246,433,979 "
2017 Q1,"$597,685,047 "
2016 Q4,"$428,951,185 "
2016 Q3,"$1,421,137,285 "
2016 Q2,"$594,266,472 "
2016 Q1,"$400,316,242 "
2015 Q4,"$1,320,583,402 "
2015 Q3,"$523,184,263 "
2015 Q2,"$464,068,625 "
2015 Q1,"$413,683,177 "
2014 Q4,"$811,017,732 "
2014 Q3,"$743,669,680 "
2014 Q2,"$426,743,362 "
2014 Q1,"$900,981,294 "
2013 Q4,"$573,575,235 "
2013 Q3,"$803,282,842 "
2013 Q2,"$1,534,532,449 "
2013 Q1,"$174,156,965 "
