,,,,Availability and Vacancy Rate,,,,,,,,,,,,
Period,# of Transactions,% of Search,Sales Volume,Availability,Vacancy,Vacancy /SF,Percent Occupied at Delivery,Market Rent,Market Rent Per SF,Occupancy Rate/SF,Market Rent Growth Rate,Ask Rent,Months on Market,Months to Lease,Months Vacant,Net Absorption
2022-09-30,27,1.20%,"$213,679,893",11.67%,8.50%,"24,424,725",100.00%,$40.29,$40.12,91.50%,0.70%,$37.81,12.5,12.8,10.1,"26,162"
2022-06-30,47,2.00%,"$547,303,263",11.09%,8.17%,"23,486,707",98.49%,$40.12,$40.00,91.83%,1.49%,$37.15,12.6,11,9.4,"1,219,005"
2022-03-31,52,2.20%,"$1,878,496,121",11.18%,7.81%,"22,393,005",78.52%,$40.00,$39.90,92.19%,2.01%,$36.00,12.5,10.8,10,"488,134"
2021-12-31,54,2.30%,"$551,852,921",10.95%,7.32%,"20,909,033",88.66%,$39.90,$39.95,92.68%,1.39%,$35.90,11.9,11.7,11.5,"595,518"
2021-09-30,56,2.40%,"$550,838,212",10.14%,6.54%,"18,557,582",64.78%,$39.95,$39.84,93.46%,1.23%,$35.88,13.1,10.7,9.9,"566,902"
2021-06-30,45,1.90%,"$96,902,611",9.52%,6.26%,"17,768,220",61.77%,$39.84,$39.41,93.74%,0.56%,$35.62,12.3,9,10.7,"262,446"
2021-03-31,46,2.00%,"$262,181,880",9.50%,6.01%,"17,027,816",65.69%,$39.41,$39.11,93.99%,0.45%,$35.33,10.6,8.9,9.2,"1,224,863"
2020-12-31,37,1.60%,"$262,592,468",8.76%,5.47%,"15,477,993",24.28%,$39.11,$39.41,94.53%,0.36%,$35.36,9.8,6.7,8,"1,785,322"
2020-09-30,32,1.40%,"$390,777,007",7.77%,4.76%,"13,461,436",84.90%,$39.41,$39.36,95.24%,0.73%,$35.23,8.7,6.6,6,"677,207"
2020-06-30,38,1.60%,"$124,975,664",6.91%,4.49%,"12,634,096",99.32%,$39.36,$39.20,95.51%,1.44%,$35.11,8.2,7.8,8.7,"1,314,678"
2020-03-31,75,3.20%,"$647,532,253",6.39%,4.29%,"11,970,929",72.34%,$39.20,$39.29,95.71%,3.61%,$35.19,8.4,7.8,7.6,"364,055"
2019-12-31,44,1.90%,"$937,021,687",6.51%,4.38%,"12,212,633",81.66%,$39.29,$39.27,95.62%,3.15%,$34.98,8.8,7.3,8.6,"983,660"
2019-09-30,50,2.10%,"$831,890,029",6.44%,4.44%,"12,353,501",80.46%,$39.27,$39.07,95.56%,4.80%,$35.24,8.5,7.2,7.3,"365,777"
2019-06-30,70,3.00%,"$815,871,830",6.60%,4.61%,"12,826,395",92.72%,$39.07,$38.64,95.39%,5.45%,$34.93,8,6.5,7.4,"382,691"
2019-03-31,36,1.50%,"$937,784,225",6.43%,4.60%,"12,791,383",64.62%,$38.64,$37.92,95.40%,4.89%,$34.42,8.5,6.4,6.4,"494,465"
2018-12-31,51,2.20%,"$526,217,147",6.54%,4.70%,"13,057,840",54.81%,$37.92,$38.07,95.30%,6.78%,$34.17,8.4,6.9,7.8,"2,369,973"
2018-09-30,60,2.60%,"$361,564,797",7.18%,5.36%,"14,852,089",95.35%,$38.07,$37.29,94.64%,5.24%,$32.87,7.6,6.3,7.4,"1,476,822"
2018-06-30,31,1.30%,"$732,816,159",7.33%,5.73%,"15,849,148",93.04%,$37.29,$36.64,94.27%,4.26%,$32.50,8.2,6.6,7.2,"195,726"
2018-03-31,78,3.30%,"$1,337,379,860",7.43%,5.78%,"15,993,454",69.40%,$36.64,$36.15,94.22%,4.88%,$32.34,9.7,7.6,7.8,"1,154,128"
2017-12-31,106,4.50%,"$323,717,058",7.73%,6.12%,"16,905,281",93.12%,$36.15,$35.65,93.88%,6.03%,$31.96,10.4,7.4,7.4,"540,189"
